승용,시도,시군구,지역코드
2470,강원특별자치도,강릉시,0
187,강원특별자치도,고성군,1
614,강원특별자치도,동해시,2
514,강원특별자치도,삼척시,3
644,강원특별자치도,속초시,4
183,강원특별자치도,양구군,5
245,강원특별자치도,양양군,6
226,강원특별자치도,영월군,7
4006,강원특별자치도,원주시,8
298,강원특별자치도,인제군,9
202,강원특별자치도,정선군,10
228,강원특별자치도,철원군,11
3304,강원특별자치도,춘천시,12
262,강원특별자치도,태백시,13
371,강원특별자치도,평창군,14
473,강원특별자치도,홍천군,15
163,강원특별자치도,화천군,16
451,강원특별자치도,횡성군,17
576,경기도,가평군,18
3653,경기도,고양시,19
3518,경기도,고양시,19
2350,경기도,고양시,19
1180,경기도,과천시,20
1839,경기도,광명시,21
3376,경기도,광주시,22
1264,경기도,구리시,23
1439,경기도,군포시,24
5445,경기도,김포시,25
6060,경기도,남양주시,26
506,경기도,동두천시,27
1,경기도,부천시,28
1620,경기도,부천시,28
697,경기도,부천시,28
2081,경기도,부천시,28
7582,경기도,성남시,29
1803,경기도,성남시,29
1466,경기도,성남시,29
3530,경기도,수원시,30
3952,경기도,수원시,30
1731,경기도,수원시,30
1588,경기도,수원시,30
3616,경기도,시흥시,31
2292,경기도,안산시,32
1693,경기도,안산시,32
1576,경기도,안성시,33
2879,경기도,안양시,34
1465,경기도,안양시,34
2705,경기도,양주시,35
1515,경기도,양평군,36
1072,경기도,여주시,37
390,경기도,연천군,38
1872,경기도,오산시,39
6028,경기도,용인시,40
4225,경기도,용인시,40
3035,경기도,용인시,40
1461,경기도,의왕시,41
2939,경기도,의정부시,42
1951,경기도,이천시,43
4366,경기도,파주시,44
5303,경기도,평택시,45
1121,경기도,포천시,46
3520,경기도,하남시,47
11288,경기도,화성시,48
1546,경상남도,거제시,49
517,경상남도,거창군,50
368,경상남도,고성군,51
3828,경상남도,김해시,52
399,경상남도,남해군,53
1025,경상남도,밀양시,54
871,경상남도,사천시,55
408,경상남도,산청군,56
3121,경상남도,양산시,57
212,경상남도,의령군,58
4004,경상남도,진주시,59
519,경상남도,창녕군,60
4014,경상남도,창원시,61
2571,경상남도,창원시,61
4940,경상남도,창원시,61
3711,경상남도,창원시,61
1205,경상남도,창원시,61
779,경상남도,통영시,62
346,경상남도,하동군,63
2175,경상남도,함안군,64
459,경상남도,함양군,65
514,경상남도,합천군,66
2483,경상북도,경산시,68
2592,경상북도,경주시,69
374,경상북도,고령군,70
3335,경상북도,구미시,71
1360,경상북도,김천시,72
480,경상북도,문경시,73
190,경상북도,봉화군,74
757,경상북도,상주시,75
559,경상북도,성주군,76
1397,경상북도,안동시,77
254,경상북도,영덕군,78
124,경상북도,영양군,79
711,경상북도,영주시,80
918,경상북도,영천시,81
528,경상북도,예천군,82
521,경상북도,울릉군,83
412,경상북도,울진군,84
372,경상북도,의성군,85
466,경상북도,청도군,86
202,경상북도,청송군,87
941,경상북도,칠곡군,88
1878,경상북도,포항시,89
2817,경상북도,포항시,89
20,,성주군,
3304,광주광역시,광산구,90
1798,광주광역시,남구,92
1028,광주광역시,동구,93
3721,광주광역시,북구,94
2517,광주광역시,서구,95
257,대구광역시,군위군,96
953,대구광역시,남구,97
5800,대구광역시,달서구,98
3204,대구광역시,달성군,99
4185,대구광역시,동구,101
3918,대구광역시,북구,102
1342,대구광역시,서구,103
7036,대구광역시,수성구,104
2081,대구광역시,중구,105
1590,대전광역시,대덕구,106
1868,대전광역시,동구,108
7146,대전광역시,서구,109
5235,대전광역시,유성구,110
1910,대전광역시,중구,111
2320,부산광역시,강서구,112
1667,부산광역시,금정구,113
1904,부산광역시,기장군,114
1713,부산광역시,남구,115
3452,부산광역시,동구,116
2058,부산광역시,동래구,117
3685,부산광역시,부산진구,119
1409,부산광역시,북구,120
1123,부산광역시,사상구,121
1382,부산광역시,사하구,122
439,부산광역시,서구,123
3501,부산광역시,수영구,124
5798,부산광역시,연제구,125
588,부산광역시,영도구,126
2712,부산광역시,중구,127
4334,부산광역시,해운대구,128
13530,서울특별시,강남구,129
3562,서울특별시,강동구,130
1008,서울특별시,강북구,131
3560,서울특별시,강서구,132
1718,서울특별시,관악구,133
1485,서울특별시,광진구,134
5106,서울특별시,구로구,135
1253,서울특별시,금천구,136
2310,서울특별시,노원구,137
1460,서울특별시,도봉구,138
1647,서울특별시,동대문구,139
1832,서울특별시,동작구,140
2318,서울특별시,마포구,141
1713,서울특별시,서대문구,142
6556,서울특별시,서초구,144
2708,서울특별시,성동구,145
2075,서울특별시,성북구,146
4898,서울특별시,송파구,147
2242,서울특별시,양천구,148
2677,서울특별시,영등포구,149
1758,서울특별시,용산구,150
2068,서울특별시,은평구,151
1232,서울특별시,종로구,152
1780,서울특별시,중구,153
1955,서울특별시,중랑구,154
5071,세종특별자치시,세종특별자치시,
2003,울산광역시,남구,156
612,울산광역시,동구,157
1530,울산광역시,북구,158
1979,울산광역시,울주군,160
1229,울산광역시,중구,161
2067,인천광역시,강화군,162
13721,인천광역시,계양구,163
7367,인천광역시,남동구,164
374,인천광역시,동구,165
3793,인천광역시,미추홀구,166
4366,인천광역시,부평구,167
7222,인천광역시,서구,168
8463,인천광역시,연수구,169
143,인천광역시,옹진군,170
2476,인천광역시,중구,172
284,전라남도,강진군,173
427,전라남도,고흥군,174
288,전라남도,곡성군,175
2201,전라남도,광양시,176
249,전라남도,구례군,177
1827,전라남도,나주시,178
634,전라남도,담양군,179
1275,전라남도,목포시,180
1028,전라남도,무안군,181
354,전라남도,보성군,182
3216,전라남도,순천시,183
7357,전라남도,신안군,184
2493,전라남도,여수시,185
959,전라남도,영광군,186
523,전라남도,영암군,187
260,전라남도,완도군,188
445,전라남도,장성군,189
339,전라남도,장흥군,190
242,전라남도,진도군,191
559,전라남도,함평군,192
594,전라남도,해남군,193
452,전라남도,화순군,194
475,전북특별자치도,고창군,195
2723,전북특별자치도,군산시,196
797,전북특별자치도,김제시,197
775,전북특별자치도,남원시,198
248,전북특별자치도,무주군,199
373,전북특별자치도,부안군,200
226,전북특별자치도,순창군,201
994,전북특별자치도,완주군,202
2543,전북특별자치도,익산시,203
235,전북특별자치도,임실군,204
214,전북특별자치도,장수군,205
3471,전북특별자치도,전주시,206
2821,전북특별자치도,전주시,206
1066,전북특별자치도,정읍시,207
274,전북특별자치도,진안군,208
7400,제주특별자치도,서귀포시,209
33276,제주특별자치도,제주시,210
689,충청남도,계룡시,213
1150,충청남도,공주시,214
530,충청남도,금산군,215
944,충청남도,논산시,216
2470,충청남도,당진시,217
744,충청남도,보령시,218
582,충청남도,부여군,219
2131,충청남도,서산시,220
399,충청남도,서천군,221
4171,충청남도,아산시,222
928,충청남도,예산군,223
2356,충청남도,천안시,224
3927,충청남도,천안시,224
289,충청남도,청양군,225
496,충청남도,태안군,226
972,충청남도,홍성군,227
421,충청북도,괴산군,228
340,충청북도,단양군,229
342,충청북도,보은군,230
433,충청북도,영동군,231
493,충청북도,옥천군,232
902,충청북도,음성군,233
1537,충청북도,제천시,234
303,충청북도,증평군,235
1091,충청북도,진천군,236
2294,충청북도,청주시,237
2121,충청북도,청주시,237
2255,충청북도,청주시,237
3972,충청북도,청주시,237
2694,충청북도,충주시,238
